stim_left;stim_right;stim_lev;left;right;stim;categorie;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;both_txt_loop.thisRepN;both_txt_loop.thisTrialN;both_txt_loop.thisN;both_txt_loop.thisIndex;both_stim_loop.thisRepN;both_stim_loop.thisTrialN;both_stim_loop.thisN;both_stim_loop.thisIndex;training_trials_loop.thisRepN;training_trials_loop.thisTrialN;training_trials_loop.thisN;training_trials_loop.thisIndex;stim_loop.thisRepN;stim_loop.thisTrialN;stim_loop.thisN;stim_loop.thisIndex;stim_test.thisRepN;stim_test.thisTrialN;stim_test.thisN;stim_test.thisIndex;stim_neutral_loop.thisRepN;stim_neutral_loop.thisTrialN;stim_neutral_loop.thisN;stim_neutral_loop.thisIndex;conterbalencement.thisRepN;conterbalencement.thisTrialN;conterbalencement.thisN;conterbalencement.thisIndex;istr_nh_loop.thisRepN;istr_nh_loop.thisTrialN;istr_nh_loop.thisN;istr_nh_loop.thisIndex;nh_loop_trials.thisRepN;nh_loop_trials.thisTrialN;nh_loop_trials.thisN;nh_loop_trials.thisIndex;istr_nb_loop.thisRepN;istr_nb_loop.thisTrialN;istr_nb_loop.thisN;istr_nb_loop.thisIndex;nb_loop_trials.thisRepN;nb_loop_trials.thisTrialN;nb_loop_trials.thisN;nb_loop_trials.thisIndex;conterbalencement2.thisRepN;conterbalencement2.thisTrialN;conterbalencement2.thisN;conterbalencement2.thisIndex;istr_hn_loop.thisRepN;istr_hn_loop.thisTrialN;istr_hn_loop.thisN;istr_hn_loop.thisIndex;hn_loop_trials.thisRepN;hn_loop_trials.thisTrialN;hn_loop_trials.thisN;hn_loop_trials.thisIndex;istr_bn_loop.thisRepN;istr_bn_loop.thisTrialN;istr_bn_loop.thisN;istr_bn_loop.thisIndex;bn_loop_trials.thisRepN;bn_loop_trials.thisTrialN;bn_loop_trials.thisN;bn_loop_trials.thisIndex;arousal_loop.thisRepN;arousal_loop.thisTrialN;arousal_loop.thisN;arousal_loop.thisIndex;valence_loop.thisRepN;valence_loop.thisTrialN;valence_loop.thisN;valence_loop.thisIndex;position.left;position.right;txt_right.started;txt_right.stopped;txt_left.started;txt_left.stopped;left.started;left.stopped;right.started;right.stopped;kb_trial_training.keys;kb_trial_training.rt;kb_trial_training.started;kb_trial_training.stopped;kb_extra_training.keys;kb_extra_training.rt;kb_extra_training.started;kb_extra_training.stopped;tactil_stim_level.response;tactil_stim_level.rt;img_nh_right.started;img_nh_right.stopped;img_nh_left.started;img_nh_left.stopped;img_trial_right.started;img_trial_right.stopped;img_trial_left.started;img_trial_left.stopped;resp.keys;resp.rt;resp.started;resp.stopped;img_nb_right.started;img_nb_right.stopped;img_nb_left.started;img_nb_left.stopped;half_break_left.started;half_break_left.stopped;kb_half_break.keys;kb_half_break.rt;kb_half_break.started;kb_half_break.stopped;img_hn_right.started;img_hn_right.stopped;img_hn_left.started;img_hn_left.stopped;img_bn_right.started;img_bn_right.stopped;img_bn_left.started;img_bn_left.stopped;img_arousal_right.started;img_arousal_right.stopped;img_arousal_left.started;img_arousal_left.stopped;img_val_right.started;img_val_right.stopped;img_val_left.started;img_val_left.stopped;kb_valuation.keys;kb_valuation.rt;kb_valuation.started;kb_valuation.stopped;img_valence_right.started;img_valence_right.stopped;img_valence_left.started;img_valence_left.stopped;txt_end_right.started;txt_end_right.stopped;txt_end_left.started;txt_end_left.stopped;participant;session;practice;stim_setting;date;expName;psychopyVersion;frameRate;
;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8.8;8.8;676.5502318060007;None;676.5502318060007;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8.600000000000001;8.600000000000001;697.970838878;None;697.970838878;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;2;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8.8;8.8;698.3575286209998;None;698.3575286209998;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;3;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.0;9.0;699.0540963500007;None;699.0540963500007;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;4;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.2;9.2;699.3027998910002;None;699.3027998910002;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;5;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.399999999999999;9.399999999999999;699.506062728;None;699.506062728;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;6;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.2;9.2;699.6891350750011;None;699.6891350750011;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;7;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.0;9.0;700.0864695750006;None;700.0864695750006;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
;;;;;;;0;0;0;0;;;;;8;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8.8;8.8;700.5056060710012;None;700.5056060710012;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;001;1;1;2022_Feb_04_1308;VR_setting;2021.2.3;59.9993022083462;
